Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Free Float,Price to Earning,Price to book value,Dividend yield,Debt to equity,High price,Low price,EASYVESTSCORE,Soundness Score,Holding Score,Strength Score,Quality Score,Growth Score,Short Term Growth Score,AVG GS,Sentiment Score,Growth Rate,Return over 3years,Return over 1year,Return over 6months,Return over 3months,Return over 1month,Volume,Avg Value,Entry,Target,Stop Loss,First Target,Second Target,Third Target,Stop Loss per cent,Target Per cent,RR,EPS  AVG,EPS,Return on capital employed,Return on assets,Return on equity,Price to Sales,Price to Free Cash Flow,EVEBITDA,Minimum Volume,AVG MC,Fourth Target,Fifth Target,volt,G Factor,Is company taking new Debt
Reliance Industr,500325,RELIANCE,Refineries,2860.8,1935324.77,881685.69,27.8,2.44,0.31,0.44,3024.9,2220.3,51.36,60.7,80,74.29,44.83,31.58,57.14,40.1,85,7.36,12.87,26.6,19.48,-4.07,-2.49,16332202,4672.32,2599.95,3365.16,2044.23,3365.16,3928.45,4855.93,39.94,17.63,0.44,139.1,102.9,10.02,4.7,9.23,2.15,321.02,12.22,0.53,1774372.48,6356.42,8784.38,1.03,3,1
TCS,532540,TCS,Computers - Software - Large,3670.95,1328288.5,378463.16,28.51,14.68,1.5,0.09,4254.75,3156,71.65,87.1,100,82.86,84.48,42.11,61.9,48.71,65,10.71,5.2,10.44,4.54,-10.62,-3.92,11307624,4150.97,3832.15,5012.41,3013.07,5012.41,5851.42,7232.91,21.83,36.54,1.67,171.59,126.88,64.28,32.46,51.51,5.51,33.89,19.26,1.1,1340641.73,9467.88,13084.33,1.02,2,1
HDFC Bank,500180,HDFCBANK,Banks - Private Sector,1531.55,1164808.38,1186730.46,18.18,2.95,1.27,7.39,1757.8,1363.45,76.72,86.3,82.57,74.29,95,60.53,61.9,60.99,45,34.65,0.44,-4.52,-1.53,7.05,0.75,38139348,5841.23,1720.7,2353.51,1352.92,2353.51,2747.46,3396.12,13.2,53.67,4.06,122.8,84.33,9.5,2.59,22.13,4.11,193.07,13.47,0.49,1186730.46,4445.52,6143.57,1.02,5,1
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,1372.75,818016.02,293704.08,68.67,9.46,0.29,2.63,1407.05,819,59.08,59.84,80,71.43,44.83,55.26,33.33,47.95,90,20.72,37.93,65.8,35.29,21.36,3.82,25332393,3477.5,1246.08,1278.97,979.74,1278.97,1493.05,1845.55,40.11,-6.83,-0.17,18.9,13.2,13.13,3.07,14.93,5.45,21.87,12.34,1.18,631485.86,2415.83,3338.6,1.05,3,1
ICICI Bank,532174,ICICIBANK,Banks - Private Sector,1121.05,787250.59,727011.57,17.79,3.65,0.71,6.53,1169.55,898.85,82.95,91.6,88,80,100,68.42,76.19,71.01,45,28.68,19.92,19.76,18.42,3.36,-2.55,27573177,3091.09,1142.01,1547.68,897.92,1547.68,1806.74,2233.3,24.85,38.06,1.53,80.84,63.02,8.37,2.35,20.63,4.94,11.58,15.12,0.43,727011.57,2923.39,4040.04,1.02,6,1
St Bk of India,500112,SBIN,Banks - Public Sector,830.35,740875.73,262301.24,11.04,1.79,1.65,13.51,841.25,543.15,68.08,66.71,80,85.71,50,71.05,71.43,71.18,35,28.79,24.28,42.49,45.23,7.38,0.5,23321104,1936.47,818.46,931.82,643.52,931.82,1087.79,1344.61,29.03,12.22,0.42,88.54,75.17,6.16,1.1,17.34,1.69,-123.81,16.97,0.74,617760.81,1760.1,2432.41,1.04,7,1
Life Insurance,543526,LICI,Finance & Investments,1012.7,640887.38,19592.24,15.68,7.74,0.99,0,1175,595.05,70.37,75.07,100,57.14,75.86,60.53,52.38,57.81,30,36.8,,69.59,50.95,-2.27,3.52,3546522,359.16,1210.71,1128.24,993.37,1128.24,1317.1,1628.06,1.95,11.41,5.86,85.81,64.69,66.35,0.83,63.4,0.76,25.45,13.97,1.83,559778.31,2131.13,2945.15,1.07,5,1
Infosys,500209,INFY,Computers - Software - Large,1406.9,584681.87,530204.57,22.47,6.63,2.7,0.09,1733,1262.25,74.71,83.8,83.51,82.86,84.48,57.89,61.9,59.23,65,14.62,0.47,6.62,-3.13,-15.06,-0.96,37805832,5318.9,1523.95,1957.3,1198.22,1957.3,2284.93,2824.38,17.42,39.12,2.25,74.58,63.2,39.99,19.98,31.83,3.8,27.11,14.16,1,621649.16,3697.12,5109.31,1.03,5,1
Hind. Unilever,500696,HINDUNILVR,Personal Care - Multinational,2329.05,547662.44,221109.33,53.31,10.68,1.8,0.03,2769.65,2170.25,64.23,87.1,100,80,86.21,21.05,14.29,18.8,85,2.95,-0.42,-13.67,-9.15,-3.61,4.42,5868796,1366.87,2262.24,3125.83,1778.71,3125.83,3649.05,4510.57,30.94,34.21,1.11,53.92,43.74,27.24,13.56,20.24,8.85,52.98,35.01,0.62,580339.45,5904.34,8159.62,1.02,4,1
ITC,500875,ITC,Cigarettes,426.45,532159.84,561187.27,26,7.15,2.99,0,499.7,399.3,65.27,80.2,82.8,88.57,74.14,36.84,28.57,34.09,75,8.5,25.6,-3.01,-5.19,3.49,-2.11,29573759,1261.17,425.09,598.98,334.23,598.98,699.24,864.33,27.59,40.46,1.47,25.36,16.39,37.46,23.37,28.49,7.51,36.57,18.12,0.22,561187.27,1131.4,1563.57,1.02,6,1
